kind,version,month,product_key,account_key,vendor_key,units,unit_cost,amount
ACTUAL,FY26-ACTUALS,2026-01,PANEL-A,7000,V003,722,218.57,157804.89
ACTUAL,FY26-ACTUALS,2026-01,PANEL-A,7100,V004,722,55.0,39710.0
ACTUAL,FY26-ACTUALS,2026-01,PANEL-A,7200,V005,722,14.04,10140.48
ACTUAL,FY26-ACTUALS,2026-01,PANEL-A,7300,V006,722,6.0,4332.0
ACTUAL,FY26-ACTUALS,2026-01,PANEL-B,7000,V003,247,261.85,64675.73
ACTUAL,FY26-ACTUALS,2026-01,PANEL-B,7100,V004,247,62.0,15314.0
ACTUAL,FY26-ACTUALS,2026-01,PANEL-B,7200,V005,247,15.79,3899.59
ACTUAL,FY26-ACTUALS,2026-01,PANEL-B,7300,V006,247,7.0,1729.0
ACTUAL,FY26-ACTUALS,2026-01,DRIVE,7000,V003,172,296.63,51019.87
ACTUAL,FY26-ACTUALS,2026-01,DRIVE,7100,V004,172,70.0,12040.0
ACTUAL,FY26-ACTUALS,2026-01,DRIVE,7200,V005,172,18.26,3140.29
ACTUAL,FY26-ACTUALS,2026-01,DRIVE,7300,V006,172,8.0,1376.0
ACTUAL,FY26-ACTUALS,2026-01,EDGE,7000,V003,40,183.47,7338.93
ACTUAL,FY26-ACTUALS,2026-01,EDGE,7100,V004,40,48.0,1920.0
ACTUAL,FY26-ACTUALS,2026-01,EDGE,7200,V005,40,12.0,480.16
ACTUAL,FY26-ACTUALS,2026-01,EDGE,7300,V006,40,5.0,200.0
ACTUAL,FY26-ACTUALS,2026-02,PANEL-A,7000,V003,693,231.35,160324.87
ACTUAL,FY26-ACTUALS,2026-02,PANEL-A,7100,V004,693,55.0,38115.0
ACTUAL,FY26-ACTUALS,2026-02,PANEL-A,7200,V005,693,12.42,8610.41
ACTUAL,FY26-ACTUALS,2026-02,PANEL-A,7300,V006,693,6.0,4158.0
ACTUAL,FY26-ACTUALS,2026-02,PANEL-B,7000,V003,270,277.6,74950.73
ACTUAL,FY26-ACTUALS,2026-02,PANEL-B,7100,V004,270,62.0,16740.0
ACTUAL,FY26-ACTUALS,2026-02,PANEL-B,7200,V005,270,15.17,4095.59
ACTUAL,FY26-ACTUALS,2026-02,PANEL-B,7300,V006,270,7.0,1890.0
ACTUAL,FY26-ACTUALS,2026-02,DRIVE,7000,V003,177,307.54,54433.79
ACTUAL,FY26-ACTUALS,2026-02,DRIVE,7100,V004,177,70.0,12390.0
ACTUAL,FY26-ACTUALS,2026-02,DRIVE,7200,V005,177,16.8,2973.06
ACTUAL,FY26-ACTUALS,2026-02,DRIVE,7300,V006,177,8.0,1416.0
ACTUAL,FY26-ACTUALS,2026-02,EDGE,7000,V003,44,181.64,7992.18
ACTUAL,FY26-ACTUALS,2026-02,EDGE,7100,V004,44,48.0,2112.0
ACTUAL,FY26-ACTUALS,2026-02,EDGE,7200,V005,44,11.4,501.76
ACTUAL,FY26-ACTUALS,2026-02,EDGE,7300,V006,44,5.0,220.0
ACTUAL,FY26-ACTUALS,2026-03,PANEL-A,7000,V003,786,216.3,170009.84
ACTUAL,FY26-ACTUALS,2026-03,PANEL-A,7100,V004,786,55.0,43230.0
ACTUAL,FY26-ACTUALS,2026-03,PANEL-A,7200,V005,786,16.44,12922.48
ACTUAL,FY26-ACTUALS,2026-03,PANEL-A,7300,V006,786,6.0,4716.0
ACTUAL,FY26-ACTUALS,2026-03,PANEL-B,7000,V003,269,259.6,69831.15
ACTUAL,FY26-ACTUALS,2026-03,PANEL-B,7100,V004,269,62.0,16678.0
ACTUAL,FY26-ACTUALS,2026-03,PANEL-B,7200,V005,269,18.42,4953.99
ACTUAL,FY26-ACTUALS,2026-03,PANEL-B,7300,V006,269,7.0,1883.0
ACTUAL,FY26-ACTUALS,2026-03,DRIVE,7000,V003,223,300.41,66990.83
ACTUAL,FY26-ACTUALS,2026-03,DRIVE,7100,V004,223,70.0,15610.0
ACTUAL,FY26-ACTUALS,2026-03,DRIVE,7200,V005,223,19.67,4385.89
ACTUAL,FY26-ACTUALS,2026-03,DRIVE,7300,V006,223,8.0,1784.0
ACTUAL,FY26-ACTUALS,2026-03,EDGE,7000,V003,45,180.61,8127.54
ACTUAL,FY26-ACTUALS,2026-03,EDGE,7100,V004,45,48.0,2160.0
ACTUAL,FY26-ACTUALS,2026-03,EDGE,7200,V005,45,13.33,599.98
ACTUAL,FY26-ACTUALS,2026-03,EDGE,7300,V006,45,5.0,225.0
ACTUAL,FY26-ACTUALS,2026-04,PANEL-A,7000,V003,747,217.54,162498.86
ACTUAL,FY26-ACTUALS,2026-04,PANEL-A,7100,V004,747,55.0,41085.0
ACTUAL,FY26-ACTUALS,2026-04,PANEL-A,7200,V005,747,13.57,10137.51
ACTUAL,FY26-ACTUALS,2026-04,PANEL-A,7300,V006,747,6.0,4482.0
ACTUAL,FY26-ACTUALS,2026-04,PANEL-B,7000,V003,296,266.37,78846.15
ACTUAL,FY26-ACTUALS,2026-04,PANEL-B,7100,V004,296,62.0,18352.0
ACTUAL,FY26-ACTUALS,2026-04,PANEL-B,7200,V005,296,15.7,4647.99
ACTUAL,FY26-ACTUALS,2026-04,PANEL-B,7300,V006,296,7.0,2072.0
ACTUAL,FY26-ACTUALS,2026-04,DRIVE,7000,V003,189,296.99,56130.44
ACTUAL,FY26-ACTUALS,2026-04,DRIVE,7100,V004,189,70.0,13230.0
ACTUAL,FY26-ACTUALS,2026-04,DRIVE,7200,V005,189,17.78,3360.26
ACTUAL,FY26-ACTUALS,2026-04,DRIVE,7300,V006,189,8.0,1512.0
ACTUAL,FY26-ACTUALS,2026-04,EDGE,7000,V003,47,181.12,8512.69
ACTUAL,FY26-ACTUALS,2026-04,EDGE,7100,V004,47,48.0,2256.0
ACTUAL,FY26-ACTUALS,2026-04,EDGE,7200,V005,47,11.86,557.3
ACTUAL,FY26-ACTUALS,2026-04,EDGE,7300,V006,47,5.0,235.0
ACTUAL,FY26-ACTUALS,2026-05,PANEL-A,7000,V003,752,228.22,171624.1
ACTUAL,FY26-ACTUALS,2026-05,PANEL-A,7100,V004,752,57.2,43014.4
ACTUAL,FY26-ACTUALS,2026-05,PANEL-A,7200,V005,752,13.52,10167.86
ACTUAL,FY26-ACTUALS,2026-05,PANEL-A,7300,V006,752,6.6,4963.2
ACTUAL,FY26-ACTUALS,2026-05,PANEL-B,7000,V003,337,270.83,91269.78
ACTUAL,FY26-ACTUALS,2026-05,PANEL-B,7100,V004,337,64.48,21729.76
ACTUAL,FY26-ACTUALS,2026-05,PANEL-B,7200,V005,337,16.2,5457.92
ACTUAL,FY26-ACTUALS,2026-05,PANEL-B,7300,V006,337,7.7,2594.9
ACTUAL,FY26-ACTUALS,2026-05,DRIVE,7000,V003,243,294.83,71643.72
ACTUAL,FY26-ACTUALS,2026-05,DRIVE,7100,V004,243,72.8,17690.4
ACTUAL,FY26-ACTUALS,2026-05,DRIVE,7200,V005,243,17.47,4246.23
ACTUAL,FY26-ACTUALS,2026-05,DRIVE,7300,V006,243,8.8,2138.4
ACTUAL,FY26-ACTUALS,2026-05,EDGE,7000,V003,55,181.47,9980.66
ACTUAL,FY26-ACTUALS,2026-05,EDGE,7100,V004,55,49.92,2745.6
ACTUAL,FY26-ACTUALS,2026-05,EDGE,7200,V005,55,12.1,665.28
ACTUAL,FY26-ACTUALS,2026-05,EDGE,7300,V006,55,5.5,302.5
ACTUAL,FY26-ACTUALS,2026-06,PANEL-A,7000,V003,787,205.93,162063.34
ACTUAL,FY26-ACTUALS,2026-06,PANEL-A,7100,V004,787,55.0,43285.0
ACTUAL,FY26-ACTUALS,2026-06,PANEL-A,7200,V005,787,13.66,10754.15
ACTUAL,FY26-ACTUALS,2026-06,PANEL-A,7300,V006,787,6.0,4722.0
ACTUAL,FY26-ACTUALS,2026-06,PANEL-B,7000,V003,321,263.15,84471.07
ACTUAL,FY26-ACTUALS,2026-06,PANEL-B,7100,V004,321,62.0,19902.0
ACTUAL,FY26-ACTUALS,2026-06,PANEL-B,7200,V005,321,15.42,4950.05
ACTUAL,FY26-ACTUALS,2026-06,PANEL-B,7300,V006,321,7.0,2247.0
ACTUAL,FY26-ACTUALS,2026-06,DRIVE,7000,V003,225,307.97,69292.94
ACTUAL,FY26-ACTUALS,2026-06,DRIVE,7100,V004,225,70.0,15750.0
ACTUAL,FY26-ACTUALS,2026-06,DRIVE,7200,V005,225,17.35,3902.67
ACTUAL,FY26-ACTUALS,2026-06,DRIVE,7300,V006,225,8.0,1800.0
ACTUAL,FY26-ACTUALS,2026-06,EDGE,7000,V003,58,177.09,10271.45
ACTUAL,FY26-ACTUALS,2026-06,EDGE,7100,V004,58,48.0,2784.0
ACTUAL,FY26-ACTUALS,2026-06,EDGE,7200,V005,58,12.25,710.59
ACTUAL,FY26-ACTUALS,2026-06,EDGE,7300,V006,58,5.0,290.0
ACTUAL,FY26-ACTUALS,2026-07,PANEL-A,7000,V003,858,219.59,188404.89
ACTUAL,FY26-ACTUALS,2026-07,PANEL-A,7100,V004,858,57.2,49077.6
ACTUAL,FY26-ACTUALS,2026-07,PANEL-A,7200,V005,858,14.91,12793.32
ACTUAL,FY26-ACTUALS,2026-07,PANEL-A,7300,V006,858,6.6,5662.8
ACTUAL,FY26-ACTUALS,2026-07,PANEL-B,7000,V003,342,267.19,91380.67
ACTUAL,FY26-ACTUALS,2026-07,PANEL-B,7100,V004,342,64.48,22052.16
ACTUAL,FY26-ACTUALS,2026-07,PANEL-B,7200,V005,342,16.6,5677.13
ACTUAL,FY26-ACTUALS,2026-07,PANEL-B,7300,V006,342,7.7,2633.4
ACTUAL,FY26-ACTUALS,2026-07,DRIVE,7000,V003,266,294.71,78393.56
ACTUAL,FY26-ACTUALS,2026-07,DRIVE,7100,V004,266,72.8,19364.8
ACTUAL,FY26-ACTUALS,2026-07,DRIVE,7200,V005,266,19.74,5250.13
ACTUAL,FY26-ACTUALS,2026-07,DRIVE,7300,V006,266,8.8,2340.8
ACTUAL,FY26-ACTUALS,2026-07,EDGE,7000,V003,59,179.78,10606.93
ACTUAL,FY26-ACTUALS,2026-07,EDGE,7100,V004,59,49.92,2945.28
ACTUAL,FY26-ACTUALS,2026-07,EDGE,7200,V005,59,12.74,751.59
ACTUAL,FY26-ACTUALS,2026-07,EDGE,7300,V006,59,5.5,324.5
ACTUAL,FY26-ACTUALS,2026-08,PANEL-A,7000,V003,849,222.14,188601.05
ACTUAL,FY26-ACTUALS,2026-08,PANEL-A,7100,V004,849,55.0,46695.0
ACTUAL,FY26-ACTUALS,2026-08,PANEL-A,7200,V005,849,15.78,13395.24
ACTUAL,FY26-ACTUALS,2026-08,PANEL-A,7300,V006,849,6.0,5094.0
ACTUAL,FY26-ACTUALS,2026-08,PANEL-B,7000,V003,371,264.03,97956.54
ACTUAL,FY26-ACTUALS,2026-08,PANEL-B,7100,V004,371,62.0,23002.0
ACTUAL,FY26-ACTUALS,2026-08,PANEL-B,7200,V005,371,18.76,6960.79
ACTUAL,FY26-ACTUALS,2026-08,PANEL-B,7300,V006,371,7.0,2597.0
ACTUAL,FY26-ACTUALS,2026-08,DRIVE,7000,V003,240,298.64,71673.04
ACTUAL,FY26-ACTUALS,2026-08,DRIVE,7100,V004,240,70.0,16800.0
ACTUAL,FY26-ACTUALS,2026-08,DRIVE,7200,V005,240,21.1,5062.93
ACTUAL,FY26-ACTUALS,2026-08,DRIVE,7300,V006,240,8.0,1920.0
ACTUAL,FY26-ACTUALS,2026-08,EDGE,7000,V003,61,184.55,11257.45
ACTUAL,FY26-ACTUALS,2026-08,EDGE,7100,V004,61,48.0,2928.0
ACTUAL,FY26-ACTUALS,2026-08,EDGE,7200,V005,61,13.57,827.51
ACTUAL,FY26-ACTUALS,2026-08,EDGE,7300,V006,61,5.0,305.0
ACTUAL,FY26-ACTUALS,2026-09,PANEL-A,7000,V003,925,215.98,199777.44
ACTUAL,FY26-ACTUALS,2026-09,PANEL-A,7100,V004,925,55.0,50875.0
ACTUAL,FY26-ACTUALS,2026-09,PANEL-A,7200,V005,925,13.41,12403.04
ACTUAL,FY26-ACTUALS,2026-09,PANEL-A,7300,V006,925,6.0,5550.0
ACTUAL,FY26-ACTUALS,2026-09,PANEL-B,7000,V003,385,268.36,103318.0
ACTUAL,FY26-ACTUALS,2026-09,PANEL-B,7100,V004,385,62.0,23870.0
ACTUAL,FY26-ACTUALS,2026-09,PANEL-B,7200,V005,385,14.84,5715.15
ACTUAL,FY26-ACTUALS,2026-09,PANEL-B,7300,V006,385,7.0,2695.0
ACTUAL,FY26-ACTUALS,2026-09,DRIVE,7000,V003,269,308.56,83001.99
ACTUAL,FY26-ACTUALS,2026-09,DRIVE,7100,V004,269,70.0,18830.0
ACTUAL,FY26-ACTUALS,2026-09,DRIVE,7200,V005,269,16.62,4471.97
ACTUAL,FY26-ACTUALS,2026-09,DRIVE,7300,V006,269,8.0,2152.0
