kind,version,month,product_key,units,asp_usd,revenue
ACTUAL,FY26-ACTUALS,2026-01,PANEL-A,722,426.31,307798.87
ACTUAL,FY26-ACTUALS,2026-01,PANEL-B,247,523.71,129357.06
ACTUAL,FY26-ACTUALS,2026-01,DRIVE,172,630.3,108412.46
ACTUAL,FY26-ACTUALS,2026-01,EDGE,40,385.14,15405.66
ACTUAL,FY26-ACTUALS,2026-02,PANEL-A,693,430.66,298448.09
ACTUAL,FY26-ACTUALS,2026-02,PANEL-B,270,522.92,141187.34
ACTUAL,FY26-ACTUALS,2026-02,DRIVE,177,634.0,112217.63
ACTUAL,FY26-ACTUALS,2026-02,EDGE,44,405.03,17821.13
ACTUAL,FY26-ACTUALS,2026-03,PANEL-A,786,432.8,340181.57
ACTUAL,FY26-ACTUALS,2026-03,PANEL-B,269,518.77,139548.74
ACTUAL,FY26-ACTUALS,2026-03,DRIVE,223,628.05,140055.04
ACTUAL,FY26-ACTUALS,2026-03,EDGE,45,394.25,17741.11
ACTUAL,FY26-ACTUALS,2026-04,PANEL-A,747,432.92,323392.94
ACTUAL,FY26-ACTUALS,2026-04,PANEL-B,296,516.61,152917.06
ACTUAL,FY26-ACTUALS,2026-04,DRIVE,189,641.19,121185.54
ACTUAL,FY26-ACTUALS,2026-04,EDGE,47,389.55,18308.97
ACTUAL,FY26-ACTUALS,2026-05,PANEL-A,752,428.56,322278.36
ACTUAL,FY26-ACTUALS,2026-05,PANEL-B,337,522.11,175949.69
ACTUAL,FY26-ACTUALS,2026-05,DRIVE,243,646.61,157125.69
ACTUAL,FY26-ACTUALS,2026-05,EDGE,55,387.24,21298.2
ACTUAL,FY26-ACTUALS,2026-06,PANEL-A,787,429.74,338208.56
ACTUAL,FY26-ACTUALS,2026-06,PANEL-B,321,513.51,164837.2
ACTUAL,FY26-ACTUALS,2026-06,DRIVE,225,640.84,144188.27
ACTUAL,FY26-ACTUALS,2026-06,EDGE,58,390.04,22622.31
ACTUAL,FY26-ACTUALS,2026-07,PANEL-A,858,427.42,366725.56
ACTUAL,FY26-ACTUALS,2026-07,PANEL-B,342,523.44,179017.53
ACTUAL,FY26-ACTUALS,2026-07,DRIVE,266,627.51,166916.77
ACTUAL,FY26-ACTUALS,2026-07,EDGE,59,387.57,22866.72
ACTUAL,FY26-ACTUALS,2026-08,PANEL-A,849,433.65,368171.64
ACTUAL,FY26-ACTUALS,2026-08,PANEL-B,371,521.6,193512.84
ACTUAL,FY26-ACTUALS,2026-08,DRIVE,240,636.41,152739.56
ACTUAL,FY26-ACTUALS,2026-08,EDGE,61,390.46,23817.91
ACTUAL,FY26-ACTUALS,2026-09,PANEL-A,925,429.13,396945.78
ACTUAL,FY26-ACTUALS,2026-09,PANEL-B,385,524.23,201828.65
ACTUAL,FY26-ACTUALS,2026-09,DRIVE,269,638.01,171625.84
ACTUAL,FY26-ACTUALS,2026-09,EDGE,64,392.32,25108.55
ACTUAL,FY26-ACTUALS,2026-10,PANEL-A,878,424.78,372955.95
ACTUAL,FY26-ACTUALS,2026-10,PANEL-B,397,523.27,207737.16
ACTUAL,FY26-ACTUALS,2026-10,DRIVE,271,635.67,172265.53
ACTUAL,FY26-ACTUALS,2026-10,EDGE,64,388.75,24879.78
ACTUAL,FY26-ACTUALS,2026-11,PANEL-A,911,431.05,392684.6
ACTUAL,FY26-ACTUALS,2026-11,PANEL-B,391,521.21,203791.8
ACTUAL,FY26-ACTUALS,2026-11,DRIVE,270,638.63,172431.16
ACTUAL,FY26-ACTUALS,2026-11,EDGE,73,389.38,28424.47
ACTUAL,FY26-ACTUALS,2026-12,PANEL-A,974,428.76,417611.04
ACTUAL,FY26-ACTUALS,2026-12,PANEL-B,426,527.97,224915.32
ACTUAL,FY26-ACTUALS,2026-12,DRIVE,300,637.43,191229.66
ACTUAL,FY26-ACTUALS,2026-12,EDGE,73,386.99,28249.92
