month,product_key,account_key,plan_units,plan_unit_cost,plan_amount,actual_units,actual_unit_cost,actual_amount,variance_amount,price_variance,volume_variance,driver,account_name,product_name
2026-01,DRIVE,7000,180.0,299.3,53874.0,172.0,296.63,51019.87,-2854.1299999999974,-459.24000000000274,-2394.4,Material price,BOM Materials,SPAN Drive
2026-01,DRIVE,7100,180.0,70.0,12600.0,172.0,70.0,12040.0,-560.0,0.0,-560.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-01,DRIVE,7200,180.0,17.8,3204.04,172.0,18.26,3140.29,-63.75,79.12000000000015,-142.4,Freight rate,Freight and Duties,SPAN Drive
2026-01,DRIVE,7300,180.0,8.0,1440.0,172.0,8.0,1376.0,-64.0,0.0,-64.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-01,EDGE,7000,40.0,182.84,7313.6,40.0,183.47,7338.93,25.329999999999927,25.199999999999818,0.0,Material price,BOM Materials,SPAN Edge
2026-01,EDGE,7100,40.0,48.0,1920.0,40.0,48.0,1920.0,0.0,0.0,0.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-01,EDGE,7200,40.0,11.87,474.67,40.0,12.0,480.16,5.490000000000009,5.200000000000031,0.0,Freight rate,Freight and Duties,SPAN Edge
2026-01,EDGE,7300,40.0,5.0,200.0,40.0,5.0,200.0,0.0,0.0,0.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-01,PANEL-A,7000,700.0,223.35,156345.0,722.0,218.57,157804.89,1459.890000000014,-3451.1600000000008,4913.7,Material price,BOM Materials,SPAN Panel
2026-01,PANEL-A,7100,700.0,55.0,38500.0,722.0,55.0,39710.0,1210.0,0.0,1210.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-01,PANEL-A,7200,700.0,13.84,9691.22,722.0,14.04,10140.48,449.2600000000002,144.3999999999995,304.48,Freight rate,Freight and Duties,SPAN Panel
2026-01,PANEL-A,7300,700.0,6.0,4200.0,722.0,6.0,4332.0,132.0,0.0,132.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-01,PANEL-B,7000,250.0,259.39,64847.5,247.0,261.85,64675.73,-171.7699999999968,607.620000000009,-778.17,Material price,BOM Materials,SPAN Panel Pro
2026-01,PANEL-B,7100,250.0,62.0,15500.0,247.0,62.0,15314.0,-186.0,0.0,-186.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-01,PANEL-B,7200,250.0,15.82,3955.6,247.0,15.79,3899.59,-56.00999999999976,-7.410000000000281,-47.46,Freight rate,Freight and Duties,SPAN Panel Pro
