month,plan_revenue,actual_revenue,forecast_revenue,plan_cogs,actual_cogs,forecast_cogs,plan_gross_margin,actual_gross_margin,forecast_gross_margin,plan_opex,actual_opex,forecast_opex,plan_capex,actual_capex,forecast_capex,revenue_variance_to_plan,cogs_variance_to_plan,gross_margin_variance_to_plan,opex_variance_to_plan,capex_variance_to_plan,plan_revenue_ytd,actual_revenue_ytd,forecast_revenue_ytd,plan_cogs_ytd,actual_cogs_ytd,forecast_cogs_ytd,plan_gross_margin_ytd,actual_gross_margin_ytd,forecast_gross_margin_ytd,plan_opex_ytd,actual_opex_ytd,forecast_opex_ytd,plan_capex_ytd,actual_capex_ytd,forecast_capex_ytd,plan_units,actual_units,forecast_units,units_variance_to_plan,plan_bookings,actual_bookings,forecast_bookings,bookings_variance_to_plan,plan_backlog,actual_backlog,forecast_backlog,backlog_variance_to_plan,plan_inventory,actual_inventory,forecast_inventory,inventory_variance_to_plan,plan_cash,actual_cash,forecast_cash,cash_variance_to_plan,plan_units_ytd,actual_units_ytd,forecast_units_ytd,plan_bookings_ytd,actual_bookings_ytd,forecast_bookings_ytd,plan_cash_ytd,actual_cash_ytd,forecast_cash_ytd,plan_inventory_ytd,actual_inventory_ytd,forecast_inventory_ytd,plan_backlog_ytd,actual_backlog_ytd,forecast_backlog_ytd
2026-01,561800,560974.05,563604.24,375815.63,375120.94,375118.01,185984.37,185853.11,188486.23,123972.62,125703.5,123520.06,27993.98,31114.45,27128.22,-825.9499999999534,-694.6900000000023,-131.2599999999511,1730.88,3120.47,561800,560974.05,563604.24,375815.63,375120.94,375118.01,185984.37,185853.11,188486.23,123972.62,125703.5,123520.06,27993.98,31114.45,27128.22,1605,1663,1621,58,592246.0,589054.0,590806.0,-3192.0,1230446.0,1278079.95,1247201.76,47633.94999999995,591690.0,630218.0,605411.0,38528.0,2000000.0,2050000.0,2010000.0,50000.0,1605,1663,1621,592246.0,589054.0,590806.0,2000000.0,2050000.0,2010000.0,591690.0,630218.0,605411.0,1230446.0,1278079.95,1247201.76
2026-02,587920,569674.1900000001,590940.61,387986.41,390923.39,392042.1,199933.59,178750.8,198898.51,132360.8,142636.56,134263.5,28271.18,29348.58,28264.51,-18245.80999999994,2936.98000000004,-21182.78999999998,10275.76,1077.4,1149720,1130648.24,1154544.85,763802.04,766044.3300000001,767160.1100000001,385917.96,364603.9100000001,387384.7399999999,256333.42,268340.06,257783.56,56265.16,60463.03,55392.73,1747,1749,1747,2,631736.0,610170.0,630854.0,-21566.0,1274262.0,1318575.7599999998,1287115.15,44313.75999999978,633029.0,679928.0,653112.0,46899.0,2020638.0310000002,2036398.3979999998,2024039.177,15760.36699999962,3352,3412,3368,1223982.0,1199224.0,1221660.0,2020638.0310000002,2036398.3979999998,2024039.177,633029.0,679928.0,653112.0,1274262.0,1318575.7599999998,1287115.15
2026-03,614040,637526.46,613445.22,409292.55,424107.7,409417.5,204747.45,213418.76,204027.72,144139.05,149623.62,146998.71,28445.47,30285.73,29278.94,23486.45999999996,14815.15000000002,8671.30999999994,5484.57,1840.26,1763760,1768174.7,1767990.07,1173094.59,1190152.03,1176577.61,590665.41,578022.67,591412.46,400472.47,417963.68,404782.27,84710.63,90748.76,84671.67,1876,1984,1843,108,668252.0,689234.0,662178.0,20982.0,1328474.0,1370283.2999999998,1335847.93,41809.299999999814,678884.0,743730.0,691067.0,64846.0,2034655.0210000002,2041968.802,2036855.402,7313.780999999726,5228,5396,5211,1892234.0,1888458.0,1883838.0,2034655.0210000002,2041968.802,2036855.402,678884.0,743730.0,691067.0,1328474.0,1370283.2999999998,1335847.93
2026-04,640160,615804.51,639555.98,424237.08,407915.2,430815.38,215922.92,207889.3100000001,208740.6,151852.56,145541.94,150377.62,49928.07,55208.19,52990.2,-24355.48999999999,-16321.88000000006,-8033.609999999928,-6310.62,5280.12,2403920,2383979.21,2407546.05,1597331.67,1598067.23,1607392.99,806588.3300000001,785911.9800000001,800153.0599999999,552325.03,563505.62,555159.89,134638.7,145956.95,137661.87,1975,1895,1925,-80,698920.0,663489.0,691213.0,-35431.0,1387234.0,1417967.7899999998,1387504.95,30733.789999999804,700672.0,708765.0,720104.0,8093.0,2043248.2750000001,2069892.6430000002,2032204.788,26644.368000000017,7203,7291,7136,2591154.0,2551947.0,2575051.0,2043248.2750000001,2069892.6430000002,2032204.788,700672.0,708765.0,720104.0,1387234.0,1417967.7899999998,1387504.95
2026-05,666280,676651.94,671571.12,441939.66,460234.71,438856.26,224340.34,216417.2299999999,232714.86,152208.11,157097.8,155207.86,28948.3,24754.89,28262.4,10371.93999999994,18295.05000000005,-7923.110000000102,4889.69,-4193.41,3070200,3060631.15,3079117.17,2039271.33,2058301.94,2046249.25,1030928.67,1002329.21,1032867.92,704533.14,720603.42,710367.75,163587.0,170711.84,165924.27,2036,2014,1995,-22,722311.0,717963.0,719371.0,-4348.0,1443265.0,1459278.85,1435304.83,16013.850000000093,710763.0,764006.0,712750.0,53243.0,2085379.6820000003,2079166.9520000003,2086935.6639999999,-6212.729999999981,9239,9305,9131,3313465.0,3269910.0,3294422.0,2085379.6820000003,2079166.9520000003,2086935.6639999999,710763.0,764006.0,712750.0,1443265.0,1459278.85,1435304.83
2026-06,692400,669856.34,687863.72,458574.0,437196.26,454828.25,233826.0,232660.08,233035.47,155469.79,148079.85,152958.49,28618.67,28379.41,29440.45,-22543.66000000004,-21377.73999999999,-1165.920000000042,-7389.94,-239.26,3762600,3730487.49,3766980.89,2497845.33,2495498.2,2501077.5,1264754.67,1234989.29,1265903.39,860002.93,868683.27,863326.24,192205.67,199091.25,195364.72,2057,1899,1993,-158,738973.0,694205.0,724477.0,-44768.0,1489838.0,1483627.5100000002,1471918.11,-6210.489999999758,706239.0,690730.0,705819.0,-15509.0,2138858.2010000004,2168417.481,2140352.652,29559.279999999795,11296,11204,11124,4052438.0,3964115.0,4018899.0,2138858.2010000004,2168417.481,2140352.652,706239.0,690730.0,705819.0,1489838.0,1483627.5100000002,1471918.11
2026-07,718520,735526.58,703069.49,477050.93,497659.56,467550.69,241469.07,237867.02,235518.8,158276.48,168201.53,168762.39,42250.47,41133.17,41275.52,17006.57999999996,20608.63,-3602.050000000047,9925.05,-1117.3,4481120,4466014.069999999,4470050.38,2974896.26,2993157.76,2968628.19,1506223.74,1472856.31,1501422.19,1018279.41,1036884.8,1032088.63,234456.14,240224.42,236640.24,2053,1981,1975,-72,751433.0,742841.0,725382.0,-8592.0,1522751.0,1490941.9300000002,1494230.6200000003,-31809.069999999832,698134.0,735092.0,690068.0,36958.0,2182116.162,2169265.1360000004,2171495.903,-12851.025999999605,13349,13185,13099,4803871.0,4706956.0,4744281.0,2182116.162,2169265.1360000004,2171495.903,698134.0,735092.0,690068.0,1522751.0,1490941.9300000002,1494230.6200000003
2026-08,744640,738241.95,740065.61,497028.39,495075.55,492359.0,247611.61,243166.4,247706.61,157735.59,158840.44,157412.9,30495.34,36340.33,31939.27,-6398.050000000047,-1952.840000000026,-4445.210000000021,1104.85,5844.99,5225760,5204256.02,5210115.99,3471924.65,3488233.31,3460987.19,1753835.35,1716022.71,1749128.8,1176015.0,1195725.24,1189501.53,264951.48,276564.75,268579.51,2042,1910,2020,-132,763609.0,730058.0,749285.0,-33551.0,1541720.0,1482757.9800000002,1503450.0100000002,-58962.019999999786,694793.0,699295.0,695373.0,4502.0,2237973.54,2225079.8800000004,2220012.35,-12893.659999999683,15391,15095,15119,5567480.0,5437014.0,5493566.0,2237973.54,2225079.8800000004,2220012.35,694793.0,699295.0,695373.0,1541720.0,1482757.9800000002,1503450.0100000002
2026-09,770760,795508.8200000001,762358.12,509433.51,528027.81,504103.8,261326.49,267481.01,258254.32,159527.93,159353.76,158192.19,32871.97,32772.79,33964.2,24748.82000000007,18594.30000000005,6154.520000000019,-174.17,-99.18,5996520,5999764.84,5972474.11,3981358.16,4016261.12,3965090.99,2015161.84,1983503.72,2007383.12,1335542.93,1355079.0,1347693.72,297823.45,309337.54,302543.71,2050,2025,2044,-25,779787.0,778718.0,762784.0,-1069.0,1550747.0,1465967.1600000004,1503875.8900000001,-84779.83999999962,693662.0,728789.0,696791.0,35127.0,2299091.1739999996,2271516.4510000004,2275480.243,-27574.7229999993,17441,17120,17163,6347267.0,6215732.0,6256350.0,2299091.1739999996,2271516.4510000004,2275480.243,693662.0,728789.0,696791.0,1550747.0,1465967.1600000004,1503875.8900000001
2026-10,796880,777838.42,800751.53,528246.47,524335.91,526556.48,268633.53,253502.51,274195.05,161966.86,156969.25,156579.05,50532.81,61114.02,53821.21,-19041.57999999996,-3910.55999999994,-15131.02000000002,-4997.61,10581.21,6793400,6777603.26,6773225.640000001,4509604.63,4540597.03,4491647.47,2283795.37,2237006.23,2281578.17,1497509.79,1512048.25,1504272.77,348356.26,370451.56,356364.92,2095,2007,2143,-88,803422.0,764277.0,800134.0,-39145.0,1557289.0,1452405.7400000002,1503258.36,-104883.25999999978,718894.0,735221.0,730842.0,16327.0,2333250.7669999995,2291354.0810000002,2310364.4269999997,-41896.68599999929,19536,19127,19306,7150689.0,6980009.0,7056484.0,2333250.7669999995,2291354.0810000002,2310364.4269999997,718894.0,735221.0,730842.0,1557289.0,1452405.7400000002,1503258.36
