month,scenario,product_key,units,asp_usd,revenue,cogs,gross_margin,probability_of_mp,yield_rate_assumption,bom_unit_cost_assumption,product_name
2026-01,BASE,PANEL-X,0,580,0,0,0,0.15,0.915,255,SPAN Panel X
2026-01,DOWNSIDE,PANEL-X,0,580,0,0,0,0.05,0.895,270,SPAN Panel X
2026-01,UPSIDE,PANEL-X,0,580,0,0,0,0.21,0.925,248,SPAN Panel X
2026-02,BASE,PANEL-X,0,580,0,0,0,0.15,0.915,255,SPAN Panel X
2026-02,DOWNSIDE,PANEL-X,0,580,0,0,0,0.05,0.895,270,SPAN Panel X
2026-02,UPSIDE,PANEL-X,0,580,0,0,0,0.21,0.925,248,SPAN Panel X
2026-03,BASE,PANEL-X,0,580,0,0,0,0.15,0.915,255,SPAN Panel X
2026-03,DOWNSIDE,PANEL-X,0,580,0,0,0,0.05,0.895,270,SPAN Panel X
2026-03,UPSIDE,PANEL-X,0,580,0,0,0,0.21,0.925,248,SPAN Panel X
2026-04,BASE,PANEL-X,0,580,0,0,0,0.15,0.915,255,SPAN Panel X
2026-04,DOWNSIDE,PANEL-X,0,580,0,0,0,0.05,0.895,270,SPAN Panel X
2026-04,UPSIDE,PANEL-X,0,580,0,0,0,0.21,0.925,248,SPAN Panel X
2026-05,BASE,PANEL-X,0,580,0,0,0,0.35,0.915,255,SPAN Panel X
2026-05,DOWNSIDE,PANEL-X,0,580,0,0,0,0.23,0.895,270,SPAN Panel X
2026-05,UPSIDE,PANEL-X,0,580,0,0,0,0.41,0.925,248,SPAN Panel X
2026-06,BASE,PANEL-X,0,580,0,0,0,0.35,0.915,255,SPAN Panel X
2026-06,DOWNSIDE,PANEL-X,0,580,0,0,0,0.23,0.895,270,SPAN Panel X
2026-06,UPSIDE,PANEL-X,0,580,0,0,0,0.41,0.925,248,SPAN Panel X
2026-07,BASE,PANEL-X,0,580,0,0,0,0.6,0.915,255,SPAN Panel X
2026-07,DOWNSIDE,PANEL-X,0,580,0,0,0,0.48,0.895,270,SPAN Panel X
2026-07,UPSIDE,PANEL-X,0,580,0,0,0,0.66,0.925,248,SPAN Panel X
2026-08,BASE,PANEL-X,0,580,0,0,0,0.6,0.915,255,SPAN Panel X
2026-08,DOWNSIDE,PANEL-X,0,580,0,0,0,0.48,0.895,270,SPAN Panel X
2026-08,UPSIDE,PANEL-X,0,580,0,0,0,0.66,0.925,248,SPAN Panel X
2026-09,BASE,PANEL-X,80,580,46400,27680,18720,0.8,0.915,255,SPAN Panel X
2026-09,DOWNSIDE,PANEL-X,60,580,34800,22260,12540,0.68,0.895,270,SPAN Panel X
2026-09,UPSIDE,PANEL-X,96,580,55680,32064,23616,0.86,0.925,248,SPAN Panel X
2026-10,BASE,PANEL-X,180,580,104400,62280,42120,0.88,0.915,255,SPAN Panel X
2026-10,DOWNSIDE,PANEL-X,135,580,78300,50085,28215,0.76,0.895,270,SPAN Panel X
2026-10,UPSIDE,PANEL-X,216,580,125280,72144,53136,0.94,0.925,248,SPAN Panel X
2026-11,BASE,PANEL-X,260,580,150800,89960,60840,0.92,0.915,255,SPAN Panel X
2026-11,DOWNSIDE,PANEL-X,195,580,113100,72345,40755,0.8,0.895,270,SPAN Panel X
2026-11,UPSIDE,PANEL-X,312,580,180960,104208,76752,0.98,0.925,248,SPAN Panel X
2026-12,BASE,PANEL-X,320,580,185600,110720,74880,0.95,0.915,255,SPAN Panel X
2026-12,DOWNSIDE,PANEL-X,240,580,139200,89040,50160,0.83,0.895,270,SPAN Panel X
2026-12,UPSIDE,PANEL-X,384,580,222720,128256,94464,0.99,0.925,248,SPAN Panel X
