month,scenario,product_key,units,fx_usd_cny,ocean_freight_index,yield_rate,bom_unit_cost_usd
2026-01,BASE,PANEL-A,700,7.1248,0.9889,0.9265,223.35
2026-01,BASE,PANEL-B,250,7.1248,0.9889,0.9265,259.39
2026-01,BASE,DRIVE,180,7.1248,0.9889,0.9265,299.3
2026-01,BASE,EDGE,40,7.1248,0.9889,0.9265,182.84
2026-01,DOWNSIDE,PANEL-A,644,7.1248,0.9889,0.9265,221.69
2026-01,DOWNSIDE,PANEL-B,230,7.1248,0.9889,0.9265,258.78
2026-01,DOWNSIDE,DRIVE,166,7.1248,0.9889,0.9265,301.63
2026-01,DOWNSIDE,EDGE,37,7.1248,0.9889,0.9265,179.17
2026-01,UPSIDE,PANEL-A,756,7.1248,0.9889,0.9265,218.98
2026-01,UPSIDE,PANEL-B,270,7.1248,0.9889,0.9265,260.63
2026-01,UPSIDE,DRIVE,194,7.1248,0.9889,0.9265,294.26
2026-01,UPSIDE,EDGE,43,7.1248,0.9889,0.9265,176.9
2026-02,BASE,PANEL-A,725,7.0719,0.919,0.9231,218.0
2026-02,BASE,PANEL-B,265,7.0719,0.919,0.9231,256.33
2026-02,BASE,DRIVE,190,7.0719,0.919,0.9231,304.4
2026-02,BASE,EDGE,43,7.0719,0.919,0.9231,179.59
2026-02,DOWNSIDE,PANEL-A,667,7.0719,0.919,0.9231,220.15
2026-02,DOWNSIDE,PANEL-B,244,7.0719,0.919,0.9231,256.3
2026-02,DOWNSIDE,DRIVE,175,7.0719,0.919,0.9231,298.37
2026-02,DOWNSIDE,EDGE,40,7.0719,0.919,0.9231,180.2
2026-02,UPSIDE,PANEL-A,783,7.0719,0.919,0.9231,217.47
2026-02,UPSIDE,PANEL-B,286,7.0719,0.919,0.9231,260.98
2026-02,UPSIDE,DRIVE,205,7.0719,0.919,0.9231,298.2
2026-02,UPSIDE,EDGE,46,7.0719,0.919,0.9231,179.47
2026-03,BASE,PANEL-A,750,7.0699,1.1482,0.9199,217.67
2026-03,BASE,PANEL-B,280,7.0699,1.1482,0.9199,262.14
2026-03,BASE,DRIVE,200,7.0699,1.1482,0.9199,296.34
2026-03,BASE,EDGE,46,7.0699,1.1482,0.9199,180.38
2026-03,DOWNSIDE,PANEL-A,690,7.0699,1.1482,0.9199,215.69
2026-03,DOWNSIDE,PANEL-B,258,7.0699,1.1482,0.9199,256.55
2026-03,DOWNSIDE,DRIVE,184,7.0699,1.1482,0.9199,300.59
2026-03,DOWNSIDE,EDGE,42,7.0699,1.1482,0.9199,181.33
2026-03,UPSIDE,PANEL-A,810,7.0699,1.1482,0.9199,220.38
2026-03,UPSIDE,PANEL-B,302,7.0699,1.1482,0.9199,259.7
2026-03,UPSIDE,DRIVE,216,7.0699,1.1482,0.9199,299.1
2026-03,UPSIDE,EDGE,50,7.0699,1.1482,0.9199,177.34
2026-04,BASE,PANEL-A,775,7.064,0.9631,0.9306,220.76
2026-04,BASE,PANEL-B,295,7.064,0.9631,0.9306,255.42
2026-04,BASE,DRIVE,210,7.064,0.9631,0.9306,300.97
2026-04,BASE,EDGE,49,7.064,0.9631,0.9306,179.31
2026-04,DOWNSIDE,PANEL-A,713,7.064,0.9631,0.9306,218.51
2026-04,DOWNSIDE,PANEL-B,271,7.064,0.9631,0.9306,261.59
2026-04,DOWNSIDE,DRIVE,193,7.064,0.9631,0.9306,303.09
2026-04,DOWNSIDE,EDGE,45,7.064,0.9631,0.9306,181.68
2026-04,UPSIDE,PANEL-A,837,7.064,0.9631,0.9306,218.15
2026-04,UPSIDE,PANEL-B,319,7.064,0.9631,0.9306,259.2
2026-04,UPSIDE,DRIVE,227,7.064,0.9631,0.9306,300.99
2026-04,UPSIDE,EDGE,53,7.064,0.9631,0.9306,181.76
2026-05,BASE,PANEL-A,800,7.076,0.9851,0.9089,217.37
2026-05,BASE,PANEL-B,310,7.076,0.9851,0.9089,262.11
2026-05,BASE,DRIVE,220,7.076,0.9851,0.9089,304.07
2026-05,BASE,EDGE,52,7.076,0.9851,0.9089,179.87
2026-05,DOWNSIDE,PANEL-A,736,7.076,0.9851,0.9089,222.21
2026-05,DOWNSIDE,PANEL-B,285,7.076,0.9851,0.9089,260.94
2026-05,DOWNSIDE,DRIVE,202,7.076,0.9851,0.9089,298.06
2026-05,DOWNSIDE,EDGE,48,7.076,0.9851,0.9089,180.65
2026-05,UPSIDE,PANEL-A,864,7.076,0.9851,0.9089,223.38
2026-05,UPSIDE,PANEL-B,335,7.076,0.9851,0.9089,259.91
2026-05,UPSIDE,DRIVE,238,7.076,0.9851,0.9089,304.69
2026-05,UPSIDE,EDGE,56,7.076,0.9851,0.9089,175.28
2026-06,BASE,PANEL-A,825,7.1411,1.007,0.917,220.2
2026-06,BASE,PANEL-B,325,7.1411,1.007,0.917,254.83
2026-06,BASE,DRIVE,230,7.1411,1.007,0.917,299.34
2026-06,BASE,EDGE,55,7.1411,1.007,0.917,180.64
2026-06,DOWNSIDE,PANEL-A,759,7.1411,1.007,0.917,223.25
2026-06,DOWNSIDE,PANEL-B,299,7.1411,1.007,0.917,258.65
2026-06,DOWNSIDE,DRIVE,212,7.1411,1.007,0.917,297.57
2026-06,DOWNSIDE,EDGE,51,7.1411,1.007,0.917,179.1
2026-06,UPSIDE,PANEL-A,891,7.1411,1.007,0.917,222.01
2026-06,UPSIDE,PANEL-B,351,7.1411,1.007,0.917,260.85
2026-06,UPSIDE,DRIVE,248,7.1411,1.007,0.917,298.41
2026-06,UPSIDE,EDGE,59,7.1411,1.007,0.917,180.92
2026-07,BASE,PANEL-A,850,7.1049,1.0775,0.913,219.28
2026-07,BASE,PANEL-B,340,7.1049,1.0775,0.913,258.98
2026-07,BASE,DRIVE,240,7.1049,1.0775,0.913,295.61
2026-07,BASE,EDGE,58,7.1049,1.0775,0.913,180.53
2026-07,DOWNSIDE,PANEL-A,782,7.1049,1.0775,0.913,220.57
2026-07,DOWNSIDE,PANEL-B,313,7.1049,1.0775,0.913,260.01
2026-07,DOWNSIDE,DRIVE,221,7.1049,1.0775,0.913,299.3
2026-07,DOWNSIDE,EDGE,53,7.1049,1.0775,0.913,177.45
2026-07,UPSIDE,PANEL-A,918,7.1049,1.0775,0.913,219.07
2026-07,UPSIDE,PANEL-B,367,7.1049,1.0775,0.913,259.11
2026-07,UPSIDE,DRIVE,259,7.1049,1.0775,0.913,297.59
2026-07,UPSIDE,EDGE,63,7.1049,1.0775,0.913,179.71
2026-08,BASE,PANEL-A,875,7.1202,1.1509,0.9217,220.57
2026-08,BASE,PANEL-B,355,7.1202,1.1509,0.9217,259.81
2026-08,BASE,DRIVE,250,7.1202,1.1509,0.9217,294.24
2026-08,BASE,EDGE,61,7.1202,1.1509,0.9217,179.95
2026-08,DOWNSIDE,PANEL-A,805,7.1202,1.1509,0.9217,220.13
2026-08,DOWNSIDE,PANEL-B,327,7.1202,1.1509,0.9217,266.4
2026-08,DOWNSIDE,DRIVE,230,7.1202,1.1509,0.9217,299.42
2026-08,DOWNSIDE,EDGE,56,7.1202,1.1509,0.9217,180.54
2026-08,UPSIDE,PANEL-A,945,7.1202,1.1509,0.9217,219.92
2026-08,UPSIDE,PANEL-B,383,7.1202,1.1509,0.9217,256.96
2026-08,UPSIDE,DRIVE,270,7.1202,1.1509,0.9217,303.43
2026-08,UPSIDE,EDGE,66,7.1202,1.1509,0.9217,181.35
2026-09,BASE,PANEL-A,900,7.1396,0.9272,0.934,216.92
2026-09,BASE,PANEL-B,370,7.1396,0.9272,0.934,261.53
2026-09,BASE,DRIVE,260,7.1396,0.9272,0.934,306.57
2026-09,BASE,EDGE,64,7.1396,0.9272,0.934,178.22
2026-09,DOWNSIDE,PANEL-A,828,7.1396,0.9272,0.934,218.75
2026-09,DOWNSIDE,PANEL-B,340,7.1396,0.9272,0.934,260.26
2026-09,DOWNSIDE,DRIVE,239,7.1396,0.9272,0.934,298.49
2026-09,DOWNSIDE,EDGE,59,7.1396,0.9272,0.934,177.21
2026-09,UPSIDE,PANEL-A,972,7.1396,0.9272,0.934,220.15
2026-09,UPSIDE,PANEL-B,400,7.1396,0.9272,0.934,257.24
2026-09,UPSIDE,DRIVE,281,7.1396,0.9272,0.934,301.42
2026-09,UPSIDE,EDGE,69,7.1396,0.9272,0.934,178.35
2026-10,BASE,PANEL-A,925,7.1775,0.9373,0.9168,221.79
2026-10,BASE,PANEL-B,385,7.1775,0.9373,0.9168,256.8
2026-10,BASE,DRIVE,270,7.1775,0.9373,0.9168,300.68
2026-10,BASE,EDGE,67,7.1775,0.9373,0.9168,182.35
2026-10,DOWNSIDE,PANEL-A,851,7.1775,0.9373,0.9168,216.46
2026-10,DOWNSIDE,PANEL-B,354,7.1775,0.9373,0.9168,260.48
2026-10,DOWNSIDE,DRIVE,248,7.1775,0.9373,0.9168,300.78
2026-10,DOWNSIDE,EDGE,62,7.1775,0.9373,0.9168,181.41
2026-10,UPSIDE,PANEL-A,999,7.1775,0.9373,0.9168,217.28
2026-10,UPSIDE,PANEL-B,416,7.1775,0.9373,0.9168,256.57
2026-10,UPSIDE,DRIVE,292,7.1775,0.9373,0.9168,301.57
2026-10,UPSIDE,EDGE,72,7.1775,0.9373,0.9168,180.53
2026-11,BASE,PANEL-A,950,7.1125,1.0277,0.9132,220.51
2026-11,BASE,PANEL-B,400,7.1125,1.0277,0.9132,260.76
2026-11,BASE,DRIVE,280,7.1125,1.0277,0.9132,297.86
2026-11,BASE,EDGE,70,7.1125,1.0277,0.9132,183.36
2026-11,DOWNSIDE,PANEL-A,874,7.1125,1.0277,0.9132,221.04
2026-11,DOWNSIDE,PANEL-B,368,7.1125,1.0277,0.9132,256.9
2026-11,DOWNSIDE,DRIVE,258,7.1125,1.0277,0.9132,301.97
2026-11,DOWNSIDE,EDGE,64,7.1125,1.0277,0.9132,178.25
2026-11,UPSIDE,PANEL-A,1026,7.1125,1.0277,0.9132,221.73
2026-11,UPSIDE,PANEL-B,432,7.1125,1.0277,0.9132,263.01
