kind,version,month,product_key,account_key,vendor_key,units,unit_cost,amount
FCST,FCST-2026-06,2026-01,PANEL-A,7000,V003,720,228.16,164274.58
FCST,FCST-2026-06,2026-01,PANEL-A,7100,V004,720,55.0,39600.0
FCST,FCST-2026-06,2026-01,PANEL-A,7200,V005,720,13.69,9853.38
FCST,FCST-2026-06,2026-01,PANEL-A,7300,V006,720,6.0,4320.0
FCST,FCST-2026-06,2026-01,PANEL-B,7000,V003,254,265.07,67327.81
FCST,FCST-2026-06,2026-01,PANEL-B,7100,V004,254,62.0,15748.0
FCST,FCST-2026-06,2026-01,PANEL-B,7200,V005,254,15.63,3970.16
FCST,FCST-2026-06,2026-01,PANEL-B,7300,V006,254,7.0,1778.0
FCST,FCST-2026-06,2026-01,DRIVE,7000,V003,177,292.94,51850.94
FCST,FCST-2026-06,2026-01,DRIVE,7100,V004,177,70.0,12390.0
FCST,FCST-2026-06,2026-01,DRIVE,7200,V005,177,17.66,3125.79
FCST,FCST-2026-06,2026-01,DRIVE,7300,V006,177,8.0,1416.0
FCST,FCST-2026-06,2026-01,EDGE,7000,V003,39,183.46,7155.13
FCST,FCST-2026-06,2026-01,EDGE,7100,V004,39,48.0,1872.0
FCST,FCST-2026-06,2026-01,EDGE,7200,V005,39,12.2,475.83
FCST,FCST-2026-06,2026-01,EDGE,7300,V006,39,5.0,195.0
FCST,FCST-2026-06,2026-02,PANEL-A,7000,V003,739,216.04,159654.64
FCST,FCST-2026-06,2026-02,PANEL-A,7100,V004,739,55.0,40645.0
FCST,FCST-2026-06,2026-02,PANEL-A,7200,V005,739,12.96,9578.13
FCST,FCST-2026-06,2026-02,PANEL-A,7300,V006,739,6.0,4434.0
FCST,FCST-2026-06,2026-02,PANEL-B,7000,V003,258,259.35,66913.14
FCST,FCST-2026-06,2026-02,PANEL-B,7100,V004,258,62.0,15996.0
FCST,FCST-2026-06,2026-02,PANEL-B,7200,V005,258,14.6,3766.93
FCST,FCST-2026-06,2026-02,PANEL-B,7300,V006,258,7.0,1806.0
FCST,FCST-2026-06,2026-02,DRIVE,7000,V003,183,304.05,55641.4
FCST,FCST-2026-06,2026-02,DRIVE,7100,V004,183,70.0,12810.0
FCST,FCST-2026-06,2026-02,DRIVE,7200,V005,183,16.85,3083.39
FCST,FCST-2026-06,2026-02,DRIVE,7300,V006,183,8.0,1464.0
FCST,FCST-2026-06,2026-02,EDGE,7000,V003,42,179.6,7543.18
FCST,FCST-2026-06,2026-02,EDGE,7100,V004,42,48.0,2016.0
FCST,FCST-2026-06,2026-02,EDGE,7200,V005,42,11.04,463.5
FCST,FCST-2026-06,2026-02,EDGE,7300,V006,42,5.0,210.0
FCST,FCST-2026-06,2026-03,PANEL-A,7000,V003,743,215.35,160002.16
FCST,FCST-2026-06,2026-03,PANEL-A,7100,V004,743,55.0,40865.0
FCST,FCST-2026-06,2026-03,PANEL-A,7200,V005,743,16.04,11918.07
FCST,FCST-2026-06,2026-03,PANEL-A,7300,V006,743,6.0,4458.0
FCST,FCST-2026-06,2026-03,PANEL-B,7000,V003,281,264.01,74185.53
FCST,FCST-2026-06,2026-03,PANEL-B,7100,V004,281,62.0,17422.0
FCST,FCST-2026-06,2026-03,PANEL-B,7200,V005,281,18.06,5075.22
FCST,FCST-2026-06,2026-03,PANEL-B,7300,V006,281,7.0,1967.0
FCST,FCST-2026-06,2026-03,DRIVE,7000,V003,194,297.32,57681.01
FCST,FCST-2026-06,2026-03,DRIVE,7100,V004,194,70.0,13580.0
FCST,FCST-2026-06,2026-03,DRIVE,7200,V005,194,20.44,3964.5
FCST,FCST-2026-06,2026-03,DRIVE,7300,V006,194,8.0,1552.0
FCST,FCST-2026-06,2026-03,EDGE,7000,V003,47,182.51,8577.84
FCST,FCST-2026-06,2026-03,EDGE,7100,V004,47,48.0,2256.0
FCST,FCST-2026-06,2026-03,EDGE,7200,V005,47,13.79,648.24
FCST,FCST-2026-06,2026-03,EDGE,7300,V006,47,5.0,235.0
FCST,FCST-2026-06,2026-04,PANEL-A,7000,V003,807,220.21,177709.78
FCST,FCST-2026-06,2026-04,PANEL-A,7100,V004,807,55.0,44385.0
FCST,FCST-2026-06,2026-04,PANEL-A,7200,V005,807,13.68,11039.68
FCST,FCST-2026-06,2026-04,PANEL-A,7300,V006,807,6.0,4842.0
FCST,FCST-2026-06,2026-04,PANEL-B,7000,V003,299,252.96,75633.66
FCST,FCST-2026-06,2026-04,PANEL-B,7100,V004,299,62.0,18538.0
FCST,FCST-2026-06,2026-04,PANEL-B,7200,V005,299,15.57,4654.88
FCST,FCST-2026-06,2026-04,PANEL-B,7300,V006,299,7.0,2093.0
FCST,FCST-2026-06,2026-04,DRIVE,7000,V003,214,297.41,63645.47
FCST,FCST-2026-06,2026-04,DRIVE,7100,V004,214,70.0,14980.0
FCST,FCST-2026-06,2026-04,DRIVE,7200,V005,214,16.81,3596.38
FCST,FCST-2026-06,2026-04,DRIVE,7300,V006,214,8.0,1712.0
FCST,FCST-2026-06,2026-04,EDGE,7000,V003,49,182.0,8918.19
FCST,FCST-2026-06,2026-04,EDGE,7100,V004,49,48.0,2352.0
FCST,FCST-2026-06,2026-04,EDGE,7200,V005,49,11.57,566.93
FCST,FCST-2026-06,2026-04,EDGE,7300,V006,49,5.0,245.0
FCST,FCST-2026-06,2026-05,PANEL-A,7000,V003,826,213.67,176489.24
FCST,FCST-2026-06,2026-05,PANEL-A,7100,V004,826,55.0,45430.0
FCST,FCST-2026-06,2026-05,PANEL-A,7200,V005,826,13.78,11382.2
FCST,FCST-2026-06,2026-05,PANEL-A,7300,V006,826,6.0,4956.0
FCST,FCST-2026-06,2026-05,PANEL-B,7000,V003,312,256.69,80087.6
FCST,FCST-2026-06,2026-05,PANEL-B,7100,V004,312,62.0,19344.0
FCST,FCST-2026-06,2026-05,PANEL-B,7200,V005,312,15.74,4911.05
FCST,FCST-2026-06,2026-05,PANEL-B,7300,V006,312,7.0,2184.0
FCST,FCST-2026-06,2026-05,DRIVE,7000,V003,214,305.18,65309.53
FCST,FCST-2026-06,2026-05,DRIVE,7100,V004,214,70.0,14980.0
FCST,FCST-2026-06,2026-05,DRIVE,7200,V005,214,17.48,3741.11
FCST,FCST-2026-06,2026-05,DRIVE,7300,V006,214,8.0,1712.0
FCST,FCST-2026-06,2026-05,EDGE,7000,V003,51,179.76,9167.62
FCST,FCST-2026-06,2026-05,EDGE,7100,V004,51,48.0,2448.0
FCST,FCST-2026-06,2026-05,EDGE,7200,V005,51,11.99,611.52
FCST,FCST-2026-06,2026-05,EDGE,7300,V006,51,5.0,255.0
FCST,FCST-2026-06,2026-06,PANEL-A,7000,V003,809,219.03,177197.19
FCST,FCST-2026-06,2026-06,PANEL-A,7100,V004,809,55.0,44495.0
FCST,FCST-2026-06,2026-06,PANEL-A,7200,V005,809,13.93,11269.64
FCST,FCST-2026-06,2026-06,PANEL-A,7300,V006,809,6.0,4854.0
FCST,FCST-2026-06,2026-06,PANEL-B,7000,V003,324,253.42,82107.8
FCST,FCST-2026-06,2026-06,PANEL-B,7100,V004,324,62.0,20088.0
FCST,FCST-2026-06,2026-06,PANEL-B,7200,V005,324,15.82,5126.49
FCST,FCST-2026-06,2026-06,PANEL-B,7300,V006,324,7.0,2268.0
FCST,FCST-2026-06,2026-06,DRIVE,7000,V003,239,297.25,71041.66
FCST,FCST-2026-06,2026-06,DRIVE,7100,V004,239,70.0,16730.0
FCST,FCST-2026-06,2026-06,DRIVE,7200,V005,239,18.18,4346.02
FCST,FCST-2026-06,2026-06,DRIVE,7300,V006,239,8.0,1912.0
FCST,FCST-2026-06,2026-06,EDGE,7000,V003,55,181.75,9996.22
FCST,FCST-2026-06,2026-06,EDGE,7100,V004,55,48.0,2640.0
FCST,FCST-2026-06,2026-06,EDGE,7200,V005,55,12.22,672.17
FCST,FCST-2026-06,2026-06,EDGE,7300,V006,55,5.0,275.0
FCST,FCST-2026-06,2026-07,PANEL-A,7000,V003,858,218.68,187624.75
FCST,FCST-2026-06,2026-07,PANEL-A,7100,V004,858,55.0,47190.0
FCST,FCST-2026-06,2026-07,PANEL-A,7200,V005,858,14.56,12496.03
FCST,FCST-2026-06,2026-07,PANEL-A,7300,V006,858,6.0,5148.0
FCST,FCST-2026-06,2026-07,PANEL-B,7000,V003,336,263.24,88448.69
FCST,FCST-2026-06,2026-07,PANEL-B,7100,V004,336,62.0,20832.0
FCST,FCST-2026-06,2026-07,PANEL-B,7200,V005,336,17.18,5771.0
FCST,FCST-2026-06,2026-07,PANEL-B,7300,V006,336,7.0,2352.0
FCST,FCST-2026-06,2026-07,DRIVE,7000,V003,248,304.71,75568.45
FCST,FCST-2026-06,2026-07,DRIVE,7100,V004,248,70.0,17360.0
FCST,FCST-2026-06,2026-07,DRIVE,7200,V005,248,19.72,4890.74
FCST,FCST-2026-06,2026-07,DRIVE,7300,V006,248,8.0,1984.0
FCST,FCST-2026-06,2026-07,EDGE,7000,V003,59,177.63,10480.16
FCST,FCST-2026-06,2026-07,EDGE,7100,V004,59,48.0,2832.0
FCST,FCST-2026-06,2026-07,EDGE,7200,V005,59,12.97,765.2
FCST,FCST-2026-06,2026-07,EDGE,7300,V006,59,5.0,295.0
FCST,FCST-2026-06,2026-08,PANEL-A,7000,V003,879,219.14,192627.45
FCST,FCST-2026-06,2026-08,PANEL-A,7100,V004,879,55.0,48345.0
FCST,FCST-2026-06,2026-08,PANEL-A,7200,V005,879,15.85,13933.21
FCST,FCST-2026-06,2026-08,PANEL-A,7300,V006,879,6.0,5274.0
FCST,FCST-2026-06,2026-08,PANEL-B,7000,V003,374,259.79,97161.19
FCST,FCST-2026-06,2026-08,PANEL-B,7100,V004,374,62.0,23188.0
FCST,FCST-2026-06,2026-08,PANEL-B,7200,V005,374,18.82,7039.87
FCST,FCST-2026-06,2026-08,PANEL-B,7300,V006,374,7.0,2618.0
FCST,FCST-2026-06,2026-08,DRIVE,7000,V003,255,298.72,76174.02
FCST,FCST-2026-06,2026-08,DRIVE,7100,V004,255,70.0,17850.0
FCST,FCST-2026-06,2026-08,DRIVE,7200,V005,255,20.88,5325.33
FCST,FCST-2026-06,2026-08,DRIVE,7300,V006,255,8.0,2040.0
FCST,FCST-2026-06,2026-08,EDGE,7000,V003,61,178.37,10880.83
FCST,FCST-2026-06,2026-08,EDGE,7100,V004,61,48.0,2928.0
FCST,FCST-2026-06,2026-08,EDGE,7200,V005,61,13.52,824.98
FCST,FCST-2026-06,2026-08,EDGE,7300,V006,61,5.0,305.0
FCST,FCST-2026-06,2026-09,PANEL-A,7000,V003,935,213.89,199983.62
FCST,FCST-2026-06,2026-09,PANEL-A,7100,V004,935,55.0,51425.0
FCST,FCST-2026-06,2026-09,PANEL-A,7200,V005,935,13.09,12239.54
FCST,FCST-2026-06,2026-09,PANEL-A,7300,V006,935,6.0,5610.0
FCST,FCST-2026-06,2026-09,PANEL-B,7000,V003,373,259.98,96972.81
FCST,FCST-2026-06,2026-09,PANEL-B,7100,V004,373,62.0,23126.0
FCST,FCST-2026-06,2026-09,PANEL-B,7200,V005,373,14.64,5461.82
FCST,FCST-2026-06,2026-09,PANEL-B,7300,V006,373,7.0,2611.0
FCST,FCST-2026-06,2026-09,DRIVE,7000,V003,265,307.4,81460.77
FCST,FCST-2026-06,2026-09,DRIVE,7100,V004,265,70.0,18550.0
FCST,FCST-2026-06,2026-09,DRIVE,7200,V005,265,16.68,4419.41
FCST,FCST-2026-06,2026-09,DRIVE,7300,V006,265,8.0,2120.0
FCST,FCST-2026-06,2026-09,EDGE,7000,V003,65,177.19,11517.49
FCST,FCST-2026-06,2026-09,EDGE,7100,V004,65,48.0,3120.0
FCST,FCST-2026-06,2026-09,EDGE,7200,V005,65,11.25,731.41
FCST,FCST-2026-06,2026-09,EDGE,7300,V006,65,5.0,325.0
FCST,FCST-2026-06,2026-10,PANEL-A,7000,V003,953,222.01,211575.82
FCST,FCST-2026-06,2026-10,PANEL-A,7100,V004,953,55.0,52415.0
FCST,FCST-2026-06,2026-10,PANEL-A,7200,V005,953,13.27,12646.4
