kind,version,month,product_key,units,asp_usd,revenue
FCST,FCST-2026-06,2026-01,PANEL-A,720,433.3,311975.92
FCST,FCST-2026-06,2026-01,PANEL-B,254,520.76,132273.73
FCST,FCST-2026-06,2026-01,DRIVE,177,636.93,112736.81
FCST,FCST-2026-06,2026-01,EDGE,39,390.47,15228.3
FCST,FCST-2026-06,2026-02,PANEL-A,739,428.02,316303.42
FCST,FCST-2026-06,2026-02,PANEL-B,258,527.62,136125.67
FCST,FCST-2026-06,2026-02,DRIVE,183,646.93,118388.52
FCST,FCST-2026-06,2026-02,EDGE,42,388.13,16301.46
FCST,FCST-2026-06,2026-03,PANEL-A,743,432.14,321081.95
FCST,FCST-2026-06,2026-03,PANEL-B,281,522.14,146721.36
FCST,FCST-2026-06,2026-03,DRIVE,194,646.54,125429.09
FCST,FCST-2026-06,2026-03,EDGE,47,390.36,18346.96
FCST,FCST-2026-06,2026-04,PANEL-A,807,436.04,351882.97
FCST,FCST-2026-06,2026-04,PANEL-B,299,525.69,157182.36
FCST,FCST-2026-06,2026-04,DRIVE,214,631.0,135032.98
FCST,FCST-2026-06,2026-04,EDGE,49,392.24,19219.7
FCST,FCST-2026-06,2026-05,PANEL-A,826,425.25,351258.52
FCST,FCST-2026-06,2026-05,PANEL-B,312,519.86,162197.56
FCST,FCST-2026-06,2026-05,DRIVE,214,643.43,137693.75
FCST,FCST-2026-06,2026-05,EDGE,51,386.7,19721.46
FCST,FCST-2026-06,2026-06,PANEL-A,809,431.73,349272.74
FCST,FCST-2026-06,2026-06,PANEL-B,324,515.69,167084.66
FCST,FCST-2026-06,2026-06,DRIVE,239,640.18,153003.15
FCST,FCST-2026-06,2026-06,EDGE,55,389.31,21412.08
FCST,FCST-2026-06,2026-07,PANEL-A,858,428.02,367240.46
FCST,FCST-2026-06,2026-07,PANEL-B,336,525.69,176630.56
FCST,FCST-2026-06,2026-07,DRIVE,248,641.59,159115.21
FCST,FCST-2026-06,2026-07,EDGE,59,387.02,22834.1
FCST,FCST-2026-06,2026-08,PANEL-A,879,425.11,373669.45
FCST,FCST-2026-06,2026-08,PANEL-B,374,523.67,195851.69
FCST,FCST-2026-06,2026-08,DRIVE,255,635.59,162075.51
FCST,FCST-2026-06,2026-08,EDGE,61,389.41,23753.77
FCST,FCST-2026-06,2026-09,PANEL-A,935,436.57,408191.45
FCST,FCST-2026-06,2026-09,PANEL-B,373,517.97,193204.14
FCST,FCST-2026-06,2026-09,DRIVE,265,635.75,168472.57
FCST,FCST-2026-06,2026-09,EDGE,65,387.17,25165.95
FCST,FCST-2026-06,2026-10,PANEL-A,953,426.64,406585.26
FCST,FCST-2026-06,2026-10,PANEL-B,380,522.26,198458.94
FCST,FCST-2026-06,2026-10,DRIVE,271,630.76,170935.69
