month,month_idx,quarter,scenario,scenario_probability,base_units,base_asp,base_unit_cost,units_multiplier,asp_multiplier,unit_cost_multiplier,launch_delay_months
2026-01,1,2026Q1,Base,0.5,50.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-01,1,2026Q1,Downside,0.35,50.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-01,1,2026Q1,Upside,0.15,50.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-02,2,2026Q1,Base,0.5,75.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-02,2,2026Q1,Downside,0.35,75.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-02,2,2026Q1,Upside,0.15,75.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-03,3,2026Q1,Base,0.5,100.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-03,3,2026Q1,Downside,0.35,100.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-03,3,2026Q1,Upside,0.15,100.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-04,4,2026Q2,Base,0.5,125.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-04,4,2026Q2,Downside,0.35,125.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-04,4,2026Q2,Upside,0.15,125.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-05,5,2026Q2,Base,0.5,150.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-05,5,2026Q2,Downside,0.35,150.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-05,5,2026Q2,Upside,0.15,150.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-06,6,2026Q2,Base,0.5,175.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-06,6,2026Q2,Downside,0.35,175.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-06,6,2026Q2,Upside,0.15,175.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-07,7,2026Q3,Base,0.5,200.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-07,7,2026Q3,Downside,0.35,200.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-07,7,2026Q3,Upside,0.15,200.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-08,8,2026Q3,Base,0.5,225.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-08,8,2026Q3,Downside,0.35,225.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-08,8,2026Q3,Upside,0.15,225.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-09,9,2026Q3,Base,0.5,250.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-09,9,2026Q3,Downside,0.35,250.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-09,9,2026Q3,Upside,0.15,250.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-10,10,2026Q4,Base,0.5,275.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-10,10,2026Q4,Downside,0.35,275.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-10,10,2026Q4,Upside,0.15,275.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-11,11,2026Q4,Base,0.5,300.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-11,11,2026Q4,Downside,0.35,300.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-11,11,2026Q4,Upside,0.15,300.0,3500.0,2200.0,1.2,1.03,1.0,0
2026-12,12,2026Q4,Base,0.5,325.0,3500.0,2200.0,1.0,1.0,1.0,0
2026-12,12,2026Q4,Downside,0.35,325.0,3500.0,2200.0,0.8,0.95,1.0,0
2026-12,12,2026Q4,Upside,0.15,325.0,3500.0,2200.0,1.2,1.03,1.0,0
