kind,version,month,product_key,account_key,vendor_key,units,unit_cost,amount
PLAN,FY26-BUDGET,2026-01,PANEL-A,7000,V003,700,223.35,156345.0
PLAN,FY26-BUDGET,2026-01,PANEL-A,7100,V004,700,55.0,38500.0
PLAN,FY26-BUDGET,2026-01,PANEL-A,7200,V005,700,13.84,9691.22
PLAN,FY26-BUDGET,2026-01,PANEL-A,7300,V006,700,6.0,4200.0
PLAN,FY26-BUDGET,2026-01,PANEL-B,7000,V003,250,259.39,64847.5
PLAN,FY26-BUDGET,2026-01,PANEL-B,7100,V004,250,62.0,15500.0
PLAN,FY26-BUDGET,2026-01,PANEL-B,7200,V005,250,15.82,3955.6
PLAN,FY26-BUDGET,2026-01,PANEL-B,7300,V006,250,7.0,1750.0
PLAN,FY26-BUDGET,2026-01,DRIVE,7000,V003,180,299.3,53874.0
PLAN,FY26-BUDGET,2026-01,DRIVE,7100,V004,180,70.0,12600.0
PLAN,FY26-BUDGET,2026-01,DRIVE,7200,V005,180,17.8,3204.04
PLAN,FY26-BUDGET,2026-01,DRIVE,7300,V006,180,8.0,1440.0
PLAN,FY26-BUDGET,2026-01,EDGE,7000,V003,40,182.84,7313.6
PLAN,FY26-BUDGET,2026-01,EDGE,7100,V004,40,48.0,1920.0
PLAN,FY26-BUDGET,2026-01,EDGE,7200,V005,40,11.87,474.67
PLAN,FY26-BUDGET,2026-01,EDGE,7300,V006,40,5.0,200.0
PLAN,FY26-BUDGET,2026-02,PANEL-A,7000,V003,725,218.0,158050.0
PLAN,FY26-BUDGET,2026-02,PANEL-A,7100,V004,725,55.0,39875.0
PLAN,FY26-BUDGET,2026-02,PANEL-A,7200,V005,725,12.87,9327.85
PLAN,FY26-BUDGET,2026-02,PANEL-A,7300,V006,725,6.0,4350.0
PLAN,FY26-BUDGET,2026-02,PANEL-B,7000,V003,265,256.33,67927.45
PLAN,FY26-BUDGET,2026-02,PANEL-B,7100,V004,265,62.0,16430.0
PLAN,FY26-BUDGET,2026-02,PANEL-B,7200,V005,265,14.7,3896.56
PLAN,FY26-BUDGET,2026-02,PANEL-B,7300,V006,265,7.0,1855.0
PLAN,FY26-BUDGET,2026-02,DRIVE,7000,V003,190,304.4,57836.0
PLAN,FY26-BUDGET,2026-02,DRIVE,7100,V004,190,70.0,13300.0
PLAN,FY26-BUDGET,2026-02,DRIVE,7200,V005,190,16.54,3142.98
PLAN,FY26-BUDGET,2026-02,DRIVE,7300,V006,190,8.0,1520.0
PLAN,FY26-BUDGET,2026-02,EDGE,7000,V003,43,179.59,7722.37
PLAN,FY26-BUDGET,2026-02,EDGE,7100,V004,43,48.0,2064.0
PLAN,FY26-BUDGET,2026-02,EDGE,7200,V005,43,11.03,474.2
PLAN,FY26-BUDGET,2026-02,EDGE,7300,V006,43,5.0,215.0
PLAN,FY26-BUDGET,2026-03,PANEL-A,7000,V003,750,217.67,163252.5
PLAN,FY26-BUDGET,2026-03,PANEL-A,7100,V004,750,55.0,41250.0
PLAN,FY26-BUDGET,2026-03,PANEL-A,7200,V005,750,16.07,12056.1
PLAN,FY26-BUDGET,2026-03,PANEL-A,7300,V006,750,6.0,4500.0
PLAN,FY26-BUDGET,2026-03,PANEL-B,7000,V003,280,262.14,73399.2
PLAN,FY26-BUDGET,2026-03,PANEL-B,7100,V004,280,62.0,17360.0
PLAN,FY26-BUDGET,2026-03,PANEL-B,7200,V005,280,18.37,5143.94
PLAN,FY26-BUDGET,2026-03,PANEL-B,7300,V006,280,7.0,1960.0
PLAN,FY26-BUDGET,2026-03,DRIVE,7000,V003,200,296.34,59268.0
PLAN,FY26-BUDGET,2026-03,DRIVE,7100,V004,200,70.0,14000.0
PLAN,FY26-BUDGET,2026-03,DRIVE,7200,V005,200,20.67,4133.52
PLAN,FY26-BUDGET,2026-03,DRIVE,7300,V006,200,8.0,1600.0
PLAN,FY26-BUDGET,2026-03,EDGE,7000,V003,46,180.38,8297.48
PLAN,FY26-BUDGET,2026-03,EDGE,7100,V004,46,48.0,2208.0
PLAN,FY26-BUDGET,2026-03,EDGE,7200,V005,46,13.78,633.81
PLAN,FY26-BUDGET,2026-03,EDGE,7300,V006,46,5.0,230.0
PLAN,FY26-BUDGET,2026-04,PANEL-A,7000,V003,775,220.76,171089.0
