kind,version,month,product_key,units,asp_usd,revenue
PLAN,FY26-BUDGET,2026-01,PANEL-A,700,430.0,301000.0
PLAN,FY26-BUDGET,2026-01,PANEL-B,250,520.0,130000.0
PLAN,FY26-BUDGET,2026-01,DRIVE,180,640.0,115200.0
PLAN,FY26-BUDGET,2026-01,EDGE,40,390.0,15600.0
PLAN,FY26-BUDGET,2026-02,PANEL-A,725,430.0,311750.0
PLAN,FY26-BUDGET,2026-02,PANEL-B,265,520.0,137800.0
PLAN,FY26-BUDGET,2026-02,DRIVE,190,640.0,121600.0
PLAN,FY26-BUDGET,2026-02,EDGE,43,390.0,16770.0
PLAN,FY26-BUDGET,2026-03,PANEL-A,750,430.0,322500.0
PLAN,FY26-BUDGET,2026-03,PANEL-B,280,520.0,145600.0
PLAN,FY26-BUDGET,2026-03,DRIVE,200,640.0,128000.0
PLAN,FY26-BUDGET,2026-03,EDGE,46,390.0,17940.0
PLAN,FY26-BUDGET,2026-04,PANEL-A,775,430.0,333250.0
PLAN,FY26-BUDGET,2026-04,PANEL-B,295,520.0,153400.0
PLAN,FY26-BUDGET,2026-04,DRIVE,210,640.0,134400.0
PLAN,FY26-BUDGET,2026-04,EDGE,49,390.0,19110.0
PLAN,FY26-BUDGET,2026-05,PANEL-A,800,430.0,344000.0
PLAN,FY26-BUDGET,2026-05,PANEL-B,310,520.0,161200.0
PLAN,FY26-BUDGET,2026-05,DRIVE,220,640.0,140800.0
PLAN,FY26-BUDGET,2026-05,EDGE,52,390.0,20280.0
PLAN,FY26-BUDGET,2026-06,PANEL-A,825,430.0,354750.0
PLAN,FY26-BUDGET,2026-06,PANEL-B,325,520.0,169000.0
PLAN,FY26-BUDGET,2026-06,DRIVE,230,640.0,147200.0
PLAN,FY26-BUDGET,2026-06,EDGE,55,390.0,21450.0
PLAN,FY26-BUDGET,2026-07,PANEL-A,850,430.0,365500.0
PLAN,FY26-BUDGET,2026-07,PANEL-B,340,520.0,176800.0
PLAN,FY26-BUDGET,2026-07,DRIVE,240,640.0,153600.0
PLAN,FY26-BUDGET,2026-07,EDGE,58,390.0,22620.0
PLAN,FY26-BUDGET,2026-08,PANEL-A,875,430.0,376250.0
PLAN,FY26-BUDGET,2026-08,PANEL-B,355,520.0,184600.0
PLAN,FY26-BUDGET,2026-08,DRIVE,250,640.0,160000.0
PLAN,FY26-BUDGET,2026-08,EDGE,61,390.0,23790.0
PLAN,FY26-BUDGET,2026-09,PANEL-A,900,430.0,387000.0
PLAN,FY26-BUDGET,2026-09,PANEL-B,370,520.0,192400.0
PLAN,FY26-BUDGET,2026-09,DRIVE,260,640.0,166400.0
PLAN,FY26-BUDGET,2026-09,EDGE,64,390.0,24960.0
PLAN,FY26-BUDGET,2026-10,PANEL-A,925,430.0,397750.0
PLAN,FY26-BUDGET,2026-10,PANEL-B,385,520.0,200200.0
PLAN,FY26-BUDGET,2026-10,DRIVE,270,640.0,172800.0
PLAN,FY26-BUDGET,2026-10,EDGE,67,390.0,26130.0
PLAN,FY26-BUDGET,2026-11,PANEL-A,950,430.0,408500.0
PLAN,FY26-BUDGET,2026-11,PANEL-B,400,520.0,208000.0
PLAN,FY26-BUDGET,2026-11,DRIVE,280,640.0,179200.0
PLAN,FY26-BUDGET,2026-11,EDGE,70,390.0,27300.0
PLAN,FY26-BUDGET,2026-12,PANEL-A,975,430.0,419250.0
PLAN,FY26-BUDGET,2026-12,PANEL-B,415,520.0,215800.0
PLAN,FY26-BUDGET,2026-12,DRIVE,290,640.0,185600.0
PLAN,FY26-BUDGET,2026-12,EDGE,73,390.0,28470.0
